Resume ID,Skills,Years of Experience,Education,Certifications,Projects,Job Role
501,"NoSQL, Data Modeling, Security, SQL, MySQL, Oracle, Backup and Recovery",7,M.Tech IT,"Tableau Desktop Specialist, Certified Ethical Hacker",Inventory DB Design,Database Administrator
502,"Risk Assessment, Network Security, Incident Response, Penetration Testing, Python, Firewalls, Cryptography, SIEM",7,M.Tech IT,"React Certification, Google Data Analytics, DevOps Foundation","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
503,"CSS, MongoDB, React, Responsive Design, Node.js, JavaScript, HTML",9,B.E. Information Technology,"Microsoft Azure Fundamentals, Google Data Analytics",E-commerce Frontend,Web Developer
504,"Docker, Terraform, Cloud Security, Google Cloud, Linux",1,M.Tech IT,"Certified Ethical Hacker, React Certification, AWS Certified Solutions Architect","Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
505,"Data Analysis, UML, Stakeholder Communication, Requirement Gathering, Power BI, Excel, Tableau",2,M.Tech IT,"AWS Certified Solutions Architect, Certified Ethical Hacker, DevOps Foundation","Sales Dashboard, Product Requirement Doc",Business Analyst
506,"Computer Vision, Machine Learning, TensorFlow, NLP, Data Preprocessing, Python",6,M.Tech IT,"TensorFlow Developer Certificate, Certified Ethical Hacker","Image Classification, Object Detection System",AI/ML Engineer
507,"AWS, Kubernetes, Ansible, CI/CD, Linux, Docker, Monitoring Tools",8,B.Tech CSE,"Tableau Desktop Specialist, DevOps Foundation","Infrastructure Automation, Kubernetes Cluster Deployment",DevOps Engineer
508,"SQL, NoSQL, Data Modeling, Database Tuning, Backup and Recovery",2,B.Sc Computer Science,"TensorFlow Developer Certificate, DevOps Foundation","Data Backup System, Inventory DB Design",Database Administrator
509,"Data Structures, System Design, C++, Python, Git",4,M.Tech IT,"Google Data Analytics, AWS Certified Solutions Architect","REST API Development, E-commerce Backend",Software Engineer
510,"Data Visualization, Statistics, Python, Pandas, Scikit-learn, R",8,MCA,"TensorFlow Developer Certificate, Scrum Master",Customer Segmentation,Data Scientist
511,"Android, React Native, Java, Flutter, iOS, Swift",2,MCA,"AWS Certified Solutions Architect, React Certification, Oracle SQL Expert",ToDo App,Mobile App Developer
512,"TensorFlow, PyTorch, Python, Deep Learning, Data Preprocessing, Machine Learning",0,M.Tech IT,Google Data Analytics,"Chatbot Development, Image Classification",AI/ML Engineer
513,"SQL, Power BI, UML, Data Analysis, Tableau",2,B.E. Information Technology,Certified Ethical Hacker,"Sales Dashboard, Market Research Analysis",Business Analyst
514,"Python, Firewalls, Risk Assessment, Network Security, Cryptography, SIEM",9,B.Sc Computer Science,Tableau Desktop Specialist,Firewall Configuration,Cybersecurity Analyst
515,"Kubernetes, Linux, Azure, Google Cloud, Terraform",3,M.Tech IT,"DevOps Foundation, Certified Ethical Hacker, Scrum Master","Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
516,"iOS, Flutter, React Native, UI/UX Design, Java",1,M.Tech IT,Scrum Master,"Chat Application, Fitness Tracker",Mobile App Developer
517,"Deep Learning, Computer Vision, Machine Learning, Python, TensorFlow",4,B.Tech CSE,Microsoft Azure Fundamentals,"Chatbot Development, Object Detection System",AI/ML Engineer
518,"Backup and Recovery, MySQL, Data Modeling, SQL, Oracle, Security, NoSQL",9,B.E. Information Technology,"DevOps Foundation, Tableau Desktop Specialist","Data Backup System, Inventory DB Design",Database Administrator
519,"Security, SQL, MySQL, NoSQL, Oracle",3,MCA,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect","Inventory DB Design, Data Backup System",Database Administrator
520,"Responsive Design, Express, Node.js, HTML, MongoDB",4,B.Tech CSE,React Certification,"E-commerce Frontend, Blog CMS",Web Developer
521,"React, Responsive Design, MongoDB, JavaScript, Express",3,MCA,"Oracle SQL Expert, Tableau Desktop Specialist","E-commerce Frontend, Blog CMS",Web Developer
522,"Python, Git, Data Structures, System Design, C++, SQL",3,B.Sc Computer Science,Scrum Master,Library Management System,Software Engineer
523,"SQL, C++, Python, Data Structures, Git, System Design, Java",0,MCA,Scrum Master,"REST API Development, E-commerce Backend",Software Engineer
524,"MongoDB, Responsive Design, HTML, Express, CSS, React, JavaScript",8,MCA,Scrum Master,Blog CMS,Web Developer
525,"Responsive Design, Node.js, MongoDB, JavaScript, Express, React, CSS, HTML",3,B.Sc Computer Science,"DevOps Foundation, Certified Ethical Hacker, Microsoft Azure Fundamentals","Portfolio Website, Blog CMS",Web Developer
526,"Requirement Gathering, Power BI, UML, Tableau, SQL, Stakeholder Communication, Data Analysis, Excel",7,B.E. Information Technology,Tableau Desktop Specialist,"Product Requirement Doc, Market Research Analysis",Business Analyst
527,"Data Structures, Python, Git, Algorithms, Java, SQL",3,B.Tech CSE,Oracle SQL Expert,"E-commerce Backend, REST API Development",Software Engineer
528,"Pandas, R, Python, Machine Learning, Statistics, SQL, Data Visualization",2,MCA,Google Data Analytics,Sales Forecasting,Data Scientist
529,"Database Tuning, Security, MySQL, NoSQL, Oracle, Backup and Recovery, SQL",9,B.E. Information Technology,"React Certification, AWS Certified Solutions Architect",Database Optimization,Database Administrator
530,"Algorithms, Python, C++, SQL, System Design, Git, Data Structures, Java",8,M.Tech IT,"AWS Certified Solutions Architect, Google Data Analytics, Oracle SQL Expert","REST API Development, E-commerce Backend",Software Engineer
531,"NLP, PyTorch, Data Preprocessing, Machine Learning, Computer Vision, Python",2,B.Sc Computer Science,"Oracle SQL Expert, DevOps Foundation, AWS Certified Solutions Architect","Object Detection System, Chatbot Development",AI/ML Engineer
532,"PyTorch, Computer Vision, Python, Data Preprocessing, NLP, Deep Learning, Machine Learning, TensorFlow",9,B.E. Information Technology,Microsoft Azure Fundamentals,Chatbot Development,AI/ML Engineer
533,"JavaScript, MongoDB, React, HTML, Express, Node.js, Responsive Design, CSS",4,B.E. Information Technology,"Oracle SQL Expert, AWS Certified Solutions Architect, Microsoft Azure Fundamentals",Blog CMS,Web Developer
534,"CI/CD, Terraform, Kubernetes, Ansible, Docker, Monitoring Tools, AWS",5,B.Tech CSE,"AWS Certified Solutions Architect, React Certification","CI/CD Pipeline Setup, Kubernetes Cluster Deployment",DevOps Engineer
535,"Linux, AWS, Azure, Kubernetes, Terraform, Cloud Security",7,M.Tech IT,"Google Data Analytics, Scrum Master, Tableau Desktop Specialist",Serverless Architecture,Cloud Engineer
536,"Docker, CI/CD, Kubernetes, Ansible, Terraform, AWS, Monitoring Tools, Linux",7,MCA,Certified Ethical Hacker,Kubernetes Cluster Deployment,DevOps Engineer
537,"Node.js, Responsive Design, CSS, Express, MongoDB, React, JavaScript",8,B.Sc Computer Science,Scrum Master,"E-commerce Frontend, Portfolio Website",Web Developer
538,"Data Preprocessing, Machine Learning, TensorFlow, Python, PyTorch, NLP",1,B.E. Information Technology,"React Certification, TensorFlow Developer Certificate",Image Classification,AI/ML Engineer
539,"Cloud Security, Terraform, Google Cloud, AWS, Docker, Kubernetes, Azure, Linux",6,B.E. Information Technology,"React Certification, Certified Ethical Hacker, Oracle SQL Expert",Multi-cloud Deployment,Cloud Engineer
540,"Git, C++, Java, SQL, Algorithms, Data Structures, Python, System Design",3,M.Tech IT,"Microsoft Azure Fundamentals, Oracle SQL Expert","REST API Development, E-commerce Backend",Software Engineer
541,"NLP, Python, PyTorch, Machine Learning, Deep Learning, Computer Vision",9,B.Tech CSE,"React Certification, Google Data Analytics, DevOps Foundation","Object Detection System, Image Classification",AI/ML Engineer
542,"SQL, R, Pandas, Scikit-learn, Statistics, Machine Learning, Data Visualization, Python",0,B.E. Information Technology,"React Certification, AWS Certified Solutions Architect, Tableau Desktop Specialist","Sentiment Analysis, Customer Segmentation",Data Scientist
543,"Stakeholder Communication, Excel, UML, Tableau, SQL, Power BI, Data Analysis, Requirement Gathering",0,M.Tech IT,"Certified Ethical Hacker, Scrum Master",Product Requirement Doc,Business Analyst
544,"NoSQL, Backup and Recovery, Oracle, Database Tuning, Security, Data Modeling",3,B.Tech CSE,"Scrum Master, Certified Ethical Hacker",Inventory DB Design,Database Administrator
545,"SQL, R, Python, Scikit-learn, Statistics, Machine Learning",7,M.Tech IT,Tableau Desktop Specialist,"Customer Segmentation, Sales Forecasting",Data Scientist
546,"Excel, UML, SQL, Stakeholder Communication, Tableau, Data Analysis",1,M.Tech IT,"TensorFlow Developer Certificate, Tableau Desktop Specialist",Sales Dashboard,Business Analyst
547,"Data Preprocessing, Python, TensorFlow, Machine Learning, Computer Vision, PyTorch",3,B.Tech CSE,"Certified Ethical Hacker, AWS Certified Solutions Architect",Object Detection System,AI/ML Engineer
548,"Java, Git, C++, SQL, Python, Algorithms, Data Structures, System Design",2,B.E. Information Technology,"Google Data Analytics, Scrum Master",E-commerce Backend,Software Engineer
549,"Pandas, Statistics, Scikit-learn, Python, R, SQL, Data Visualization, Machine Learning",7,B.Sc Computer Science,"Scrum Master, TensorFlow Developer Certificate","Customer Segmentation, Sales Forecasting",Data Scientist
550,"System Design, Data Structures, C++, Git, SQL, Java, Python",2,MCA,Oracle SQL Expert,Library Management System,Software Engineer
551,"AWS, Azure, Linux, Terraform, Cloud Security, Docker, Google Cloud, Kubernetes",5,MCA,"Scrum Master, AWS Certified Solutions Architect, React Certification","Serverless Architecture, Cloud Cost Optimization",Cloud Engineer
552,"Statistics, Machine Learning, SQL, Data Visualization, R",9,B.Sc Computer Science,Scrum Master,"Sales Forecasting, Customer Segmentation",Data Scientist
553,"Security, Oracle, NoSQL, Backup and Recovery, MySQL, Data Modeling",6,B.Tech CSE,"Google Data Analytics, TensorFlow Developer Certificate, React Certification","Data Backup System, Database Optimization",Database Administrator
554,"System Design, Java, C++, Git, Python, Data Structures",4,B.Tech CSE,DevOps Foundation,REST API Development,Software Engineer
555,"Firewalls, Network Security, Penetration Testing, Python, SIEM, Incident Response",8,M.Tech IT,Certified Ethical Hacker,Vulnerability Assessment,Cybersecurity Analyst
556,"Linux, Cloud Security, Kubernetes, Azure, AWS",7,B.Tech CSE,"React Certification, AWS Certified Solutions Architect",Multi-cloud Deployment,Cloud Engineer
557,"Stakeholder Communication, UML, Requirement Gathering, Excel, Power BI, Data Analysis, Tableau, SQL",9,B.Sc Computer Science,Scrum Master,"Market Research Analysis, Product Requirement Doc",Business Analyst
558,"Terraform, Cloud Security, Linux, Azure, Google Cloud",5,B.E. Information Technology,"Tableau Desktop Specialist, Scrum Master, DevOps Foundation","Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
559,"MongoDB, Express, React, CSS, JavaScript, Node.js, Responsive Design",9,M.Tech IT,"React Certification, TensorFlow Developer Certificate, Scrum Master",E-commerce Frontend,Web Developer
560,"Requirement Gathering, Stakeholder Communication, UML, Tableau, Data Analysis, Power BI, SQL",2,MCA,"Certified Ethical Hacker, Microsoft Azure Fundamentals","Market Research Analysis, Product Requirement Doc",Business Analyst
561,"MySQL, NoSQL, Database Tuning, Data Modeling, Backup and Recovery, SQL",10,M.Tech IT,"Google Data Analytics, AWS Certified Solutions Architect, Scrum Master",Inventory DB Design,Database Administrator
562,"Java, iOS, Kotlin, Android, Swift, Flutter, React Native",3,B.Sc Computer Science,"Tableau Desktop Specialist, Microsoft Azure Fundamentals, Google Data Analytics","Fitness Tracker, Chat Application",Mobile App Developer
563,"Stakeholder Communication, SQL, Power BI, Tableau, Requirement Gathering",10,MCA,Certified Ethical Hacker,"Product Requirement Doc, Market Research Analysis",Business Analyst
564,"Deep Learning, NLP, PyTorch, Python, Computer Vision, Data Preprocessing",5,MCA,React Certification,Chatbot Development,AI/ML Engineer
565,"Data Modeling, NoSQL, Oracle, MySQL, Security, Backup and Recovery, SQL",1,M.Tech IT,"React Certification, Oracle SQL Expert, DevOps Foundation","Database Optimization, Inventory DB Design",Database Administrator
566,"Penetration Testing, Incident Response, Cryptography, Python, Network Security, Risk Assessment, SIEM, Firewalls",4,B.E. Information Technology,"AWS Certified Solutions Architect, Tableau Desktop Specialist","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
567,"Firewalls, Penetration Testing, Risk Assessment, SIEM, Incident Response, Network Security",5,B.Sc Computer Science,"DevOps Foundation, React Certification, Microsoft Azure Fundamentals",Firewall Configuration,Cybersecurity Analyst
568,"Cryptography, SIEM, Penetration Testing, Firewalls, Python, Incident Response, Network Security",8,B.E. Information Technology,"Oracle SQL Expert, Scrum Master, Microsoft Azure Fundamentals","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
569,"TensorFlow, PyTorch, Data Preprocessing, Python, NLP, Computer Vision, Deep Learning",5,M.Tech IT,"Scrum Master, Google Data Analytics, Tableau Desktop Specialist","Object Detection System, Chatbot Development",AI/ML Engineer
570,"System Design, SQL, C++, Python, Java, Data Structures, Algorithms",2,B.E. Information Technology,"DevOps Foundation, AWS Certified Solutions Architect","REST API Development, E-commerce Backend",Software Engineer
571,"Monitoring Tools, Docker, Kubernetes, Ansible, Terraform, AWS",2,M.Tech IT,Microsoft Azure Fundamentals,"Kubernetes Cluster Deployment, CI/CD Pipeline Setup",DevOps Engineer
572,"SQL, Stakeholder Communication, Power BI, Data Analysis, Excel",8,B.Tech CSE,"DevOps Foundation, TensorFlow Developer Certificate","Sales Dashboard, Product Requirement Doc",Business Analyst
573,"React, Responsive Design, CSS, MongoDB, Node.js, HTML, Express",5,M.Tech IT,"Oracle SQL Expert, Certified Ethical Hacker, Google Data Analytics",E-commerce Frontend,Web Developer
574,"Linux, Docker, Terraform, AWS, Cloud Security, Google Cloud",3,B.Tech CSE,"Tableau Desktop Specialist, Google Data Analytics",Cloud Cost Optimization,Cloud Engineer
575,"SQL, Python, R, Pandas, Statistics, Scikit-learn, Machine Learning",9,B.Sc Computer Science,"React Certification, TensorFlow Developer Certificate, AWS Certified Solutions Architect",Customer Segmentation,Data Scientist
576,"Java, Kotlin, Swift, Android, React Native",10,B.Tech CSE,AWS Certified Solutions Architect,Fitness Tracker,Mobile App Developer
577,"Python, Machine Learning, Deep Learning, Computer Vision, TensorFlow, Data Preprocessing",6,M.Tech IT,"Tableau Desktop Specialist, Oracle SQL Expert","Chatbot Development, Image Classification",AI/ML Engineer
578,"Statistics, Scikit-learn, Python, Machine Learning, Data Visualization, SQL",6,M.Tech IT,Microsoft Azure Fundamentals,Sentiment Analysis,Data Scientist
579,"Statistics, Machine Learning, SQL, Pandas, R, Data Visualization, Python, Scikit-learn",1,B.Sc Computer Science,"Tableau Desktop Specialist, React Certification, DevOps Foundation","Sentiment Analysis, Sales Forecasting",Data Scientist
580,"Kubernetes, Monitoring Tools, Linux, Terraform, Docker, CI/CD, AWS",9,MCA,"DevOps Foundation, Google Data Analytics, React Certification",CI/CD Pipeline Setup,DevOps Engineer
581,"Network Security, Penetration Testing, Cryptography, Python, Incident Response, Firewalls, SIEM",1,MCA,"React Certification, Oracle SQL Expert, Scrum Master","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
582,"Deep Learning, Python, Computer Vision, Data Preprocessing, NLP, TensorFlow, Machine Learning",1,B.E. Information Technology,React Certification,Image Classification,AI/ML Engineer
583,"Algorithms, Python, System Design, SQL, C++, Data Structures",5,B.Sc Computer Science,"DevOps Foundation, Tableau Desktop Specialist","REST API Development, Library Management System",Software Engineer
584,"UML, Power BI, Stakeholder Communication, Tableau, SQL, Excel, Data Analysis",9,B.E. Information Technology,Certified Ethical Hacker,"Product Requirement Doc, Market Research Analysis",Business Analyst
585,"Azure, Google Cloud, Linux, Kubernetes, Cloud Security",9,M.Tech IT,Tableau Desktop Specialist,"Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
586,"Data Preprocessing, PyTorch, NLP, Computer Vision, TensorFlow, Python",10,B.Sc Computer Science,"Microsoft Azure Fundamentals, Scrum Master, Certified Ethical Hacker",Object Detection System,AI/ML Engineer
587,"MongoDB, React, Express, Node.js, CSS, JavaScript, Responsive Design",1,M.Tech IT,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect, Scrum Master","Blog CMS, Portfolio Website",Web Developer
588,"MySQL, Database Tuning, NoSQL, Oracle, Backup and Recovery, SQL, Data Modeling, Security",6,B.Tech CSE,"Certified Ethical Hacker, Microsoft Azure Fundamentals",Database Optimization,Database Administrator
589,"SQL, Data Modeling, Database Tuning, Oracle, MySQL, NoSQL, Backup and Recovery",8,M.Tech IT,"Oracle SQL Expert, AWS Certified Solutions Architect",Inventory DB Design,Database Administrator
590,"Incident Response, Cryptography, SIEM, Python, Firewalls, Penetration Testing, Risk Assessment",4,B.Tech CSE,"AWS Certified Solutions Architect, DevOps Foundation",Security Audit,Cybersecurity Analyst
591,"SIEM, Cryptography, Network Security, Incident Response, Risk Assessment, Python, Firewalls",10,B.Tech CSE,"AWS Certified Solutions Architect, DevOps Foundation",Vulnerability Assessment,Cybersecurity Analyst
592,"SQL, Security, MySQL, Oracle, Backup and Recovery, NoSQL, Data Modeling",0,B.Sc Computer Science,React Certification,Database Optimization,Database Administrator
593,"Cryptography, SIEM, Python, Risk Assessment, Firewalls, Incident Response, Network Security",1,B.E. Information Technology,"Tableau Desktop Specialist, Google Data Analytics",Vulnerability Assessment,Cybersecurity Analyst
594,"Algorithms, C++, System Design, Data Structures, Python",7,B.Tech CSE,"TensorFlow Developer Certificate, DevOps Foundation, AWS Certified Solutions Architect",E-commerce Backend,Software Engineer
595,"Stakeholder Communication, SQL, UML, Power BI, Excel, Data Analysis",8,B.E. Information Technology,Certified Ethical Hacker,Market Research Analysis,Business Analyst
596,"UI/UX Design, Kotlin, Java, Flutter, Swift",4,B.Sc Computer Science,"AWS Certified Solutions Architect, Certified Ethical Hacker, TensorFlow Developer Certificate",Fitness Tracker,Mobile App Developer
597,"Requirement Gathering, Tableau, Data Analysis, Stakeholder Communication, SQL",7,M.Tech IT,"Google Data Analytics, Oracle SQL Expert, DevOps Foundation",Product Requirement Doc,Business Analyst
598,"Incident Response, SIEM, Penetration Testing, Network Security, Cryptography",0,MCA,Scrum Master,"Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
599,"React Native, Swift, Kotlin, Java, iOS",3,B.E. Information Technology,"Tableau Desktop Specialist, Certified Ethical Hacker",Chat Application,Mobile App Developer
600,"CSS, React, MongoDB, HTML, Responsive Design",9,M.Tech IT,DevOps Foundation,"Blog CMS, E-commerce Frontend",Web Developer
601,"Swift, Android, Kotlin, UI/UX Design, iOS, Flutter, Java, React Native",7,B.E. Information Technology,"Microsoft Azure Fundamentals, Scrum Master, Google Data Analytics",Fitness Tracker,Mobile App Developer
602,"SQL, Security, NoSQL, Data Modeling, MySQL, Oracle, Database Tuning",0,B.E. Information Technology,Certified Ethical Hacker,Data Backup System,Database Administrator
603,"AWS, Docker, Linux, Terraform, Kubernetes",2,MCA,"Google Data Analytics, TensorFlow Developer Certificate, Certified Ethical Hacker",Infrastructure Automation,DevOps Engineer
604,"React, MongoDB, HTML, Responsive Design, CSS, JavaScript",2,B.Sc Computer Science,"Microsoft Azure Fundamentals, React Certification, AWS Certified Solutions Architect",E-commerce Frontend,Web Developer
605,"Google Cloud, Docker, Cloud Security, Terraform, Kubernetes",5,B.Sc Computer Science,"DevOps Foundation, Oracle SQL Expert, Certified Ethical Hacker","Serverless Architecture, Multi-cloud Deployment",Cloud Engineer
606,"Backup and Recovery, SQL, Database Tuning, NoSQL, Security, MySQL, Oracle",2,MCA,"Tableau Desktop Specialist, Scrum Master","Database Optimization, Data Backup System",Database Administrator
607,"Data Preprocessing, PyTorch, Python, Computer Vision, TensorFlow, NLP, Machine Learning, Deep Learning",5,B.E. Information Technology,"Scrum Master, Oracle SQL Expert","Chatbot Development, Image Classification",AI/ML Engineer
608,"Tableau, Requirement Gathering, SQL, Power BI, Stakeholder Communication, UML, Excel",7,B.Tech CSE,"Microsoft Azure Fundamentals, Oracle SQL Expert, TensorFlow Developer Certificate",Product Requirement Doc,Business Analyst
609,"JavaScript, Responsive Design, CSS, Express, MongoDB, React, HTML, Node.js",2,B.Sc Computer Science,AWS Certified Solutions Architect,"Blog CMS, E-commerce Frontend",Web Developer
610,"Docker, Kubernetes, AWS, Azure, Terraform",8,M.Tech IT,Tableau Desktop Specialist,Cloud Cost Optimization,Cloud Engineer
611,"Terraform, Docker, Ansible, AWS, Monitoring Tools, CI/CD, Linux, Kubernetes",0,B.E. Information Technology,"Certified Ethical Hacker, Microsoft Azure Fundamentals, Tableau Desktop Specialist","CI/CD Pipeline Setup, Kubernetes Cluster Deployment",DevOps Engineer
612,"JavaScript, MongoDB, CSS, Node.js, React, Responsive Design",8,B.Sc Computer Science,"Certified Ethical Hacker, Tableau Desktop Specialist","E-commerce Frontend, Blog CMS",Web Developer
613,"MySQL, SQL, Backup and Recovery, Database Tuning, Data Modeling, Security, NoSQL",7,B.E. Information Technology,Google Data Analytics,Data Backup System,Database Administrator
614,"System Design, C++, Python, Git, Java, SQL, Data Structures",2,M.Tech IT,"Microsoft Azure Fundamentals, React Certification",Library Management System,Software Engineer
615,"Tableau, UML, Stakeholder Communication, SQL, Excel, Requirement Gathering",5,MCA,Oracle SQL Expert,Market Research Analysis,Business Analyst
616,"Python, Data Preprocessing, Deep Learning, NLP, Machine Learning, TensorFlow",2,MCA,"Google Data Analytics, AWS Certified Solutions Architect","Image Classification, Object Detection System",AI/ML Engineer
617,"SQL, MySQL, Database Tuning, Oracle, Backup and Recovery, NoSQL, Data Modeling, Security",7,MCA,Tableau Desktop Specialist,Database Optimization,Database Administrator
618,"UML, Stakeholder Communication, Requirement Gathering, SQL, Power BI, Tableau, Data Analysis, Excel",8,B.E. Information Technology,"Google Data Analytics, DevOps Foundation, Certified Ethical Hacker",Product Requirement Doc,Business Analyst
619,"Python, SIEM, Firewalls, Risk Assessment, Cryptography, Incident Response, Penetration Testing, Network Security",1,B.Tech CSE,"Oracle SQL Expert, TensorFlow Developer Certificate, Tableau Desktop Specialist","Firewall Configuration, Security Audit",Cybersecurity Analyst
620,"Data Analysis, Excel, Stakeholder Communication, Requirement Gathering, Tableau, Power BI, UML",0,M.Tech IT,"Google Data Analytics, Scrum Master, Tableau Desktop Specialist",Product Requirement Doc,Business Analyst
621,"Tableau, UML, SQL, Stakeholder Communication, Power BI, Data Analysis, Requirement Gathering, Excel",4,B.Sc Computer Science,"Google Data Analytics, Microsoft Azure Fundamentals",Sales Dashboard,Business Analyst
622,"Machine Learning, NLP, PyTorch, Computer Vision, Python, Deep Learning",6,MCA,"TensorFlow Developer Certificate, Certified Ethical Hacker","Chatbot Development, Image Classification",AI/ML Engineer
623,"Pandas, Scikit-learn, Data Visualization, R, Statistics, Python, SQL",6,B.Sc Computer Science,"Microsoft Azure Fundamentals, TensorFlow Developer Certificate","Sentiment Analysis, Customer Segmentation",Data Scientist
624,"Data Analysis, Requirement Gathering, Excel, Power BI, Stakeholder Communication, SQL, Tableau, UML",3,MCA,"Certified Ethical Hacker, DevOps Foundation, Microsoft Azure Fundamentals","Market Research Analysis, Product Requirement Doc",Business Analyst
625,"Android, Flutter, Java, Swift, React Native, iOS, UI/UX Design",8,MCA,"Tableau Desktop Specialist, React Certification",Fitness Tracker,Mobile App Developer
626,"PyTorch, TensorFlow, NLP, Python, Deep Learning, Data Preprocessing, Machine Learning, Computer Vision",5,M.Tech IT,TensorFlow Developer Certificate,Image Classification,AI/ML Engineer
627,"Docker, CI/CD, Kubernetes, AWS, Monitoring Tools",7,B.Tech CSE,Microsoft Azure Fundamentals,CI/CD Pipeline Setup,DevOps Engineer
628,"UML, Power BI, Requirement Gathering, Tableau, Data Analysis, Stakeholder Communication",6,B.Sc Computer Science,"DevOps Foundation, Certified Ethical Hacker, Scrum Master",Product Requirement Doc,Business Analyst
629,"Kubernetes, Linux, Docker, CI/CD, Terraform, Ansible, AWS",5,B.Tech CSE,Microsoft Azure Fundamentals,CI/CD Pipeline Setup,DevOps Engineer
630,"Android, Kotlin, Swift, Java, Flutter, React Native",2,MCA,"AWS Certified Solutions Architect, Microsoft Azure Fundamentals",Fitness Tracker,Mobile App Developer
631,"SQL, Tableau, UML, Requirement Gathering, Excel, Data Analysis, Stakeholder Communication, Power BI",7,B.Sc Computer Science,"Scrum Master, Google Data Analytics, React Certification",Market Research Analysis,Business Analyst
632,"NoSQL, Database Tuning, Oracle, Security, Data Modeling, MySQL, Backup and Recovery",10,B.Sc Computer Science,"Certified Ethical Hacker, Oracle SQL Expert","Database Optimization, Inventory DB Design",Database Administrator
633,"Machine Learning, Statistics, SQL, Scikit-learn, R, Data Visualization, Python",10,M.Tech IT,"Certified Ethical Hacker, Google Data Analytics","Sales Forecasting, Customer Segmentation",Data Scientist
634,"Flutter, Swift, Java, Android, iOS",10,MCA,DevOps Foundation,ToDo App,Mobile App Developer
635,"React, CSS, Express, HTML, JavaScript, Responsive Design, MongoDB",10,MCA,DevOps Foundation,Portfolio Website,Web Developer
636,"Firewalls, Python, Penetration Testing, Incident Response, SIEM, Network Security, Cryptography, Risk Assessment",1,B.Sc Computer Science,"Scrum Master, TensorFlow Developer Certificate, React Certification","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
637,"Kotlin, Swift, Java, UI/UX Design, iOS, Android, React Native",9,B.Tech CSE,Certified Ethical Hacker,"Chat Application, ToDo App",Mobile App Developer
638,"Java, React Native, Swift, Flutter, Kotlin, UI/UX Design, Android",0,B.Sc Computer Science,"Microsoft Azure Fundamentals, Scrum Master",Fitness Tracker,Mobile App Developer
639,"Python, Incident Response, Cryptography, Penetration Testing, SIEM, Firewalls",5,B.Tech CSE,Oracle SQL Expert,"Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
640,"NLP, TensorFlow, Machine Learning, Deep Learning, Data Preprocessing, PyTorch",6,MCA,React Certification,Chatbot Development,AI/ML Engineer
641,"Java, SQL, C++, Algorithms, Git, Data Structures, Python",5,B.Tech CSE,"Scrum Master, Oracle SQL Expert, Google Data Analytics","E-commerce Backend, Library Management System",Software Engineer
642,"JavaScript, Responsive Design, Node.js, MongoDB, React",10,MCA,TensorFlow Developer Certificate,"Portfolio Website, Blog CMS",Web Developer
643,"UML, Requirement Gathering, Tableau, Data Analysis, Stakeholder Communication, Power BI, Excel, SQL",10,MCA,"Certified Ethical Hacker, Microsoft Azure Fundamentals, TensorFlow Developer Certificate",Sales Dashboard,Business Analyst
644,"NoSQL, Oracle, Backup and Recovery, MySQL, Data Modeling, Security",8,B.Sc Computer Science,DevOps Foundation,Data Backup System,Database Administrator
645,"iOS, UI/UX Design, Flutter, Kotlin, React Native, Java, Android, Swift",10,B.Sc Computer Science,"TensorFlow Developer Certificate, Microsoft Azure Fundamentals",Fitness Tracker,Mobile App Developer
646,"Risk Assessment, SIEM, Network Security, Penetration Testing, Python, Incident Response, Cryptography",7,B.Tech CSE,"Tableau Desktop Specialist, DevOps Foundation",Vulnerability Assessment,Cybersecurity Analyst
647,"Ansible, Monitoring Tools, Linux, CI/CD, Terraform, AWS",6,B.Sc Computer Science,"DevOps Foundation, Tableau Desktop Specialist",Infrastructure Automation,DevOps Engineer
648,"AWS, Linux, Kubernetes, Azure, Google Cloud, Docker",10,B.E. Information Technology,"TensorFlow Developer Certificate, DevOps Foundation, Certified Ethical Hacker","Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
649,"Machine Learning, Python, TensorFlow, Deep Learning, Data Preprocessing, NLP",0,MCA,React Certification,Chatbot Development,AI/ML Engineer
650,"Stakeholder Communication, Requirement Gathering, Tableau, SQL, Excel, Power BI, Data Analysis, UML",0,B.E. Information Technology,Google Data Analytics,Product Requirement Doc,Business Analyst
651,"Pandas, Python, Statistics, R, Scikit-learn, Data Visualization",9,MCA,React Certification,Sales Forecasting,Data Scientist
652,"Python, Machine Learning, Pandas, SQL, Statistics, Data Visualization, R",10,M.Tech IT,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect, Tableau Desktop Specialist",Customer Segmentation,Data Scientist
